list_number,name,role_org,connection_to_solomon,category,subcategory
138,Oren Etzioni,"Founding CEO (former), Allen Institute for AI (AI2); Professor, University of Washington",Advocates for beneficial AI and AI transparency; his institute's work on common-sense AI relates to Solomon's need for AI that serves institutions.,Category 5: Nonprofit AI & AI-for-Social-Good,
139,Jake Porway,"Founder, DataKind",Pioneers data science for social good; his network of data volunteers demonstrates the collaborative model Solomon could adopt.,Category 5: Nonprofit AI & AI-for-Social-Good,
140,Rayid Ghani,"Distinguished Professor, CMU; former Chief Data Scientist, Obama campaign","Applies machine learning to social problems (education, healthcare, criminal justice); his project-based approach directly addresses institutions Solomon protects.",Category 5: Nonprofit AI & AI-for-Social-Good,
141,Natasha Crampton,"Chief Responsible AI Officer, Microsoft",Leads responsible AI governance at one of the world's largest AI companies; her institutional frameworks could inform Solomon's approach.,Category 5: Nonprofit AI & AI-for-Social-Good,
142,Mira Murati,"Former CTO, OpenAI",Shaped one of the most influential AI systems; her experience with AI deployment at scale informs the practical challenges Solomon must address.,Category 5: Nonprofit AI & AI-for-Social-Good,
143,Lila Ibrahim,"COO, Google DeepMind",Oversees operations at a leading AI lab; her experience bridging research and institutional deployment is relevant to Solomon's practical goals.,Category 5: Nonprofit AI & AI-for-Social-Good,
144,Shakir Mohamed,"Research Director, Google DeepMind; Co-founder, Deep Learning Indaba",Advocates for decolonizing AI and inclusive research; his work on AI's impact in underserved communities aligns with Solomon's equity mission.,Category 5: Nonprofit AI & AI-for-Social-Good,
145,Rebecca Finlay,"CEO, Partnership on AI","Leads the multi-stakeholder AI governance organization; her convening power across industry, academia, and civil society is directly useful for Solomon.",Category 5: Nonprofit AI & AI-for-Social-Good,
146,Terah Lyons,"Executive Director (former), Partnership on AI; former Obama White House AI policy",Bridges government AI policy and multi-stakeholder governance; her experience shapes institutional approaches Solomon could adopt.,Category 5: Nonprofit AI & AI-for-Social-Good,
147,Stefaan Verhulst,"Co-founder, The GovLab, NYU",Researches data governance and collaborative governance innovations; his institutional design work directly supports Solomon's civic protection mission.,Category 5: Nonprofit AI & AI-for-Social-Good,
148,Beth Simone Noveck,"Director, The GovLab; former White House Deputy CTO","Expert in using technology to strengthen democratic institutions; her ""smart citizens, smarter state"" vision aligns perfectly with Solomon's goals.",Category 5: Nonprofit AI & AI-for-Social-Good,
149,Lucy Bernholz,"Senior Research Scholar, Stanford PACS; Author of *How We Give Now*",Studies the intersection of technology and philanthropy; her work on digital civil society maps the institutional landscape Solomon aims to protect.,Category 5: Nonprofit AI & AI-for-Social-Good,
150,Hala Hanna,"Managing Director, MIT Solve",Runs MIT's social impact platform connecting innovators with institutional challenges; her network bridges tech and social sectors Solomon must engage.,Category 5: Nonprofit AI & AI-for-Social-Good,
151,Kentaro Toyama,"Professor, University of Michigan; Author of *Geek Heresy*",Critiques techno-solutionism and argues for amplifying human institutional capacity; his framework directly supports Solomon's approach over pure tech fixes.,Category 5: Nonprofit AI & AI-for-Social-Good,
152,Alondra Nelson,"Harold F. Linder Professor, Institute for Advanced Study; former White House OSTP Director",Led the Biden administration's AI Bill of Rights effort; her experience translating AI ethics into institutional policy is directly relevant to Solomon.,Category 5: Nonprofit AI & AI-for-Social-Good,
153,Suresh Venkatasubramanian,"Professor, Brown University; former White House OSTP",Co-authored the Blueprint for an AI Bill of Rights; his technical expertise in algorithmic fairness applied to policy informs Solomon's institutional approach.,Category 5: Nonprofit AI & AI-for-Social-Good,
154,Geoff Mulgan,"Professor, UCL; former CEO, Nesta","Expert in social innovation and institutional design; his work on ""collective intelligence"" and ""big mind"" connects directly to Solomon's approach.",Category 5: Nonprofit AI & AI-for-Social-Good,
155,Iyad Rahwan,"Director, Max Planck Institute for Human Development (Center for Humans and Machines)","Studies how AI reshapes human cooperation and institutions; his ""machine behavior"" framework is foundational to understanding what Solomon must address.",Category 5: Nonprofit AI & AI-for-Social-Good,
156,Achal Prabhala,"Fellow, Shuttleworth Foundation; AccessIBSA project coordinator",Advocates for equitable access to knowledge and technology in the Global South; his access-focused work aligns with Solomon's inclusive institutional mission.,Category 5: Nonprofit AI & AI-for-Social-Good,
157,Catherine Bracy,"CEO, TechEquity Collaborative","Works on technology's impact on housing, labor, and civic institutions; her community-based advocacy approach could inform Solomon's engagement strategy.",Category 5: Nonprofit AI & AI-for-Social-Good,
158,Bruce Schneier,"Adjunct Lecturer, Harvard Kennedy School; Security technologist; Author of *A Hacker's Mind*","Expert on technology, security, and social trust; his analysis of how systems are exploited applies to Solomon's concern about AI undermining institutional integrity.",Category 5: Nonprofit AI & AI-for-Social-Good,
159,Zach Verdin,"Co-founder, Credo AI",Builds AI governance platforms for enterprises; his practical tools for responsible AI deployment could support Solomon's institutional implementation.,Category 5: Nonprofit AI & AI-for-Social-Good,
160,Navrina Singh,"Founder & CEO, Credo AI",Develops AI governance software; her practical approach to responsible AI in organizations directly supports Solomon's institutional deployment goals.,Category 5: Nonprofit AI & AI-for-Social-Good,
161,Beena Ammanath,"Executive Director, Deloitte AI Institute",Bridges corporate AI deployment and ethics; her institutional consulting experience informs Solomon's approach to organizational AI adoption.,Category 5: Nonprofit AI & AI-for-Social-Good,
162,Miriam Vogel,"President & CEO, EqualAI",Leads an organization focused on reducing AI bias in business and government; her practical bias-reduction work supports Solomon's institutional mission.,Category 5: Nonprofit AI & AI-for-Social-Good,
163,Mutale Nkonde,"CEO, AI for the People",Focuses on AI's impact on Black communities and democratic participation; her advocacy connects Solomon's mission to civil rights frameworks.,Category 5: Nonprofit AI & AI-for-Social-Good,
164,Debra Ruh,"CEO, Ruh Global Communications; AI accessibility advocate",Advocates for inclusive AI that serves people with disabilities; her accessibility focus broadens Solomon's institutional protection to all communities.,Category 5: Nonprofit AI & AI-for-Social-Good,
165,Victor Pineda,"President, World Enabled; Founder, IDSA",Global disability rights advocate working on accessible technology; his institutional advocacy ensures Solomon's mission includes universal design.,Category 5: Nonprofit AI & AI-for-Social-Good,
166,Chinmayi Arun,"Executive Director, Information Society Project, Yale Law School",Researches technology governance across democracies; her comparative institutional analysis informs Solomon's global strategy.,Category 5: Nonprofit AI & AI-for-Social-Good,
167,Liz Shuler,"President, AFL-CIO","Leads the largest US labor federation; AI's impact on workers and labor institutions is central to Solomon's mission, and labor's organizing power is a key flywheel.",Category 5: Nonprofit AI & AI-for-Social-Good,
168,Mary Kay Henry,"President, SEIU",Leads one of the largest unions representing service workers most vulnerable to AI displacement; her institutional power could amplify Solomon's labor protection message.,Category 5: Nonprofit AI & AI-for-Social-Good,
169,David Rolf,"Founder, Fair Work Center; Author of *The Fight for Fifteen*",Labor strategist focused on institutional innovation for the modern economy; his work redesigning worker protections connects to Solomon's institutional adaptation mission.,Category 5: Nonprofit AI & AI-for-Social-Good,
170,Ai-jen Poo,"President, National Domestic Workers Alliance; MacArthur Fellow",Advocates for workers in the care economy facing AI disruption; her coalition-building experience could accelerate Solomon's flywheel.,Category 5: Nonprofit AI & AI-for-Social-Good,
171,Ted Mitchell,"President, American Council on Education",Leads the coordinating body for US higher education; uniquely positioned to address AI's disruption of educational institutions — core Solomon territory.,Category 6: Education & Civic Institution Leaders,
172,Freeman Hrabowski III,"Former President, UMBC; Author of *Holding Fast to Dreams*",Transformative educator focused on STEM inclusion; his experience strengthening educational institutions against disruption informs Solomon's approach.,Category 6: Education & Civic Institution Leaders,
173,Sal Khan,"Founder, Khan Academy",Pioneered AI-assisted education (Khanmigo); his practical experience deploying AI in education reveals both opportunities and risks Solomon must address.,Category 6: Education & Civic Institution Leaders,
174,Mitchel Resnick,"Professor, MIT Media Lab; Creator of Scratch",Leads research on creative learning and technology; his frameworks for constructive educational technology align with Solomon's non-destructive AI vision.,Category 6: Education & Civic Institution Leaders,
175,Priscilla Chan,"Co-founder, Chan Zuckerberg Initiative",Massive educational technology funder; CZI's investments in personalized learning face exactly the AI integrity challenges Solomon addresses.,Category 6: Education & Civic Institution Leaders,
176,Jessie Woolley-Wilson,"Former CEO, DreamBox Learning",Led one of the most successful adaptive learning companies; her experience with AI in education reveals institutional vulnerabilities Solomon could protect.,Category 6: Education & Civic Institution Leaders,
177,Ryan Baker,"Professor, University of Pennsylvania; Director, Penn Center for Learning Analytics",Leading researcher in educational data mining; his work on learning analytics ethics directly informs Solomon's educational protection mission.,Category 6: Education & Civic Institution Leaders,
178,Rose Luckin,"Professor, UCL Knowledge Lab; Author of *Machine Learning and Human Intelligence*","Researches AI in education and argues for ""intelligence augmentation""; her framework supports Solomon's vision of AI enhancing rather than undermining educational institutions.",Category 6: Education & Civic Institution Leaders,
179,Candace Thille,"Associate Professor, Stanford Graduate School of Education",Pioneer of learning science and open education; her work on evidence-based educational technology informs Solomon's approach to protecting educational quality.,Category 6: Education & Civic Institution Leaders,
180,Justin Reich,"Associate Professor, MIT; Author of *Failure to Disrupt*",Documents how educational technology repeatedly fails to transform institutions as promised; his analysis helps Solomon avoid techno-solutionist pitfalls.,Category 6: Education & Civic Institution Leaders,
181,Audrey Watters,Education technology critic; Author of *Teaching Machines*,Most incisive critic of educational technology hype; her historical analysis of ed-tech failures provides essential cautionary framework for Solomon's educational mission.,Category 6: Education & Civic Institution Leaders,
182,Ethan Mollick,"Associate Professor, Wharton; Author of *Co-Intelligence*","Leading researcher on AI's practical impact on education and work; his ""co-intelligence"" framework offers a constructive model for Solomon's institutional approach.",Category 6: Education & Civic Institution Leaders,
183,Michael Crow,"President, Arizona State University",Leads institutional innovation in higher education; ASU's experiments with AI integration provide real-world data for Solomon's educational protection strategy.,Category 6: Education & Civic Institution Leaders,
184,Jose Antonio Bowen,"President, Goucher College; Author of *Teaching Naked*",Advocates for reimagining teaching in the digital age; his practical experience with institutional transformation informs Solomon's approach.,Category 6: Education & Civic Institution Leaders,
185,Saku Tuominen,"Co-founder, HundrED (global education innovation platform)",Curates and promotes educational innovations worldwide; his platform could amplify Solomon's educational protection initiatives globally.,Category 6: Education & Civic Institution Leaders,
186,Andreas Schleicher,"Director, Education and Skills, OECD (PISA)",Runs the world's most influential education assessment program; his data on institutional educational quality provides benchmarks Solomon could use.,Category 6: Education & Civic Institution Leaders,
187,Arne Duncan,"Former US Secretary of Education; Managing Partner, Emerson Collective",Bridges education policy and philanthropy; his institutional knowledge and network could accelerate Solomon's engagement with educational systems.,Category 6: Education & Civic Institution Leaders,
188,Jennifer Pahlka,"Founder, Code for America; Author of *Recoding America*",Expert on making government technology work; her practical experience reforming civic technology institutions directly supports Solomon's civic mission.,Category 6: Education & Civic Institution Leaders,
189,Tim O'Reilly,"Founder, O'Reilly Media; Author of *WTF: What's the Future and Why It's Up to Us*","Coined ""Government as Platform""; his vision of technology strengthening democratic institutions aligns with Solomon's civic protection goals.",Category 6: Education & Civic Institution Leaders,
190,Ethan Zuckerman,"Associate Professor, UMass Amherst; Author of *Mistrust*","Studies how technology erodes public trust in institutions; his research on ""digital public infrastructure"" is foundational to Solomon's approach.",Category 6: Education & Civic Institution Leaders,
191,Hanna Wallach,"Senior Principal Researcher, Microsoft Research; Co-founder, ACM FAT* conference",Bridges machine learning research and social impact; her work on accountability in AI systems supports Solomon's institutional governance goals.,Category 6: Education & Civic Institution Leaders,
192,Latanya Sweeney,"Professor, Harvard; Director, Public Interest Tech Lab",Pioneer of data privacy research; her work on re-identification and institutional data practices informs Solomon's approach to protecting civic infrastructure.,Category 6: Education & Civic Institution Leaders,
193,danah boyd,"Founder, Data & Society; Partner Researcher, Microsoft Research","Studies how technology reshapes public life and institutions; her research on ""networked publics"" informs Solomon's understanding of civic institutional change.",Category 6: Education & Civic Institution Leaders,
194,Joan Donovan,"Research Director (former), Shorenstein Center, Harvard; Disinformation expert",Expert on how technology platforms undermine information institutions; her research on media manipulation connects to Solomon's civic protection mission.,Category 6: Education & Civic Institution Leaders,
195,Rashida Richardson,"Senior Counsel, New America's Open Technology Institute",Researches government adoption of AI and its impact on civil rights; her legal analysis of institutional AI deployment directly supports Solomon's goals.,Category 6: Education & Civic Institution Leaders,
196,Deirdre Mulligan,"Professor, UC Berkeley School of Information",Expert in technology policy and privacy; her work on values in design for public institutions informs Solomon's approach.,Category 6: Education & Civic Institution Leaders,
197,Ben Shneiderman,"Professor, University of Maryland; Author of *Human-Centered AI*","Advocates for keeping humans in control of AI systems; his ""human-centered AI"" framework provides design principles for Solomon's institutional approach.",Category 6: Education & Civic Institution Leaders,
198,Nicole Wong,"Former White House Deputy CTO; Former VP & Deputy General Counsel, Google",Bridges technology industry and government technology policy; her institutional experience shapes Solomon's approach to civic tech governance.,Category 6: Education & Civic Institution Leaders,
199,Matt Cutts,"Administrator, U.S. Digital Service (USDS)",Leads the government's technology improvement team; his practical experience modernizing civic institutions with technology informs Solomon's deployment strategy.,Category 6: Education & Civic Institution Leaders,
200,Marina Gorbis,"Executive Director, Institute for the Future","Leads futures research on technology's societal impact; her ""socialstructed"" framework for institutional transformation supports Solomon's forward-looking approach.",Category 6: Education & Civic Institution Leaders,
201,Rosalind Picard,"Professor, MIT Media Lab; Founder, Affectiva",Pioneer of affective computing — the field of machines recognizing and simulating human emotions; her research is foundational to understanding how AI interacts with human psychological wellbeing.,Category 7: Psychological & Emotional AI Researchers,
202,Sherry Turkle,"Professor, MIT; Author of *Alone Together* and *Reclaiming Conversation*",Leading psychologist studying how technology reshapes human relationships and identity; her decades of research on people's emotional connections to machines directly informs Solomon's social mission.,Category 7: Psychological & Emotional AI Researchers,
203,Rana el Kaliouby,"Co-founder, Affectiva (now Smart Eye); Author of *Girl Decoded*",Built emotion-recognition AI systems; her experience with the promises and perils of emotional AI informs Solomon's approach to psychologically aware systems.,Category 7: Psychological & Emotional AI Researchers,
204,Michal Kosinski,"Associate Professor, Stanford Graduate School of Business",Demonstrated that AI can infer personality traits from digital footprints; his research reveals psychological vulnerabilities that Solomon must help institutions guard against.,Category 7: Psychological & Emotional AI Researchers,
205,Sandra Matz,"Associate Professor, Columbia Business School","Studies psychological targeting through AI; her work on ""psychological mass persuasion"" reveals institutional vulnerabilities Solomon aims to address.",Category 7: Psychological & Emotional AI Researchers,
206,Alison Gopnik,"Professor of Psychology, UC Berkeley; Author of *The Gardener and the Carpenter*",Leading developmental psychologist studying how children learn; her research on human cognition versus machine learning informs Solomon's educational protection mission.,Category 7: Psychological & Emotional AI Researchers,
207,Gary Marcus,"Professor Emeritus, NYU; Author of *Rebooting AI*",Prominent AI critic focused on current systems' cognitive limitations; his arguments about what AI cannot do inform Solomon's realistic assessment of institutional AI risks.,Category 7: Psychological & Emotional AI Researchers,
208,Abigail Marsh,"Professor of Psychology, Georgetown; Author of *The Fear Factor*","Studies empathy, altruism, and psychopathy; her research on prosocial behavior informs how Solomon might evaluate AI's impact on social cooperation.",Category 7: Psychological & Emotional AI Researchers,
209,Paul Bloom,"Professor of Psychology, University of Toronto; Author of *Against Empathy*",Challenges assumptions about empathy and moral reasoning; his nuanced view of human moral psychology informs Solomon's approach to AI ethics beyond simplistic empathy frameworks.,Category 7: Psychological & Emotional AI Researchers,
210,Jonathan Haidt,"Professor, NYU Stern; Author of *The Righteous Mind* and *The Anxious Generation*",Documents technology's impact on mental health and social cohesion; his research on social media's harm to youth and institutions is directly relevant to Solomon's protective mission.,Category 7: Psychological & Emotional AI Researchers,
211,Jean Twenge,"Professor, San Diego State University; Author of *iGen*",Researches generational changes in mental health linked to technology; her data on institutional trust erosion among young people informs Solomon's educational mission.,Category 7: Psychological & Emotional AI Researchers,
212,Nick Yee,"AI researcher; former founder, Quantic Foundry",Pioneer in studying psychological effects of virtual environments and AI interactions; his research on how people relate to digital systems informs Solomon's design.,Category 7: Psychological & Emotional AI Researchers,
213,Kate Darling,"Research Specialist, MIT Media Lab; Author of *The New Breed*",Studies human-robot interaction and emotional attachment to machines; her work on how people anthropomorphize AI informs Solomon's approach to healthy human-AI relationships.,Category 7: Psychological & Emotional AI Researchers,
214,Byron Reeves,"Professor, Stanford Communication; Co-author, *The Media Equation*",Demonstrated that people treat computers as social actors; his foundational research explains why AI's institutional impact is psychologically deeper than most assume.,Category 7: Psychological & Emotional AI Researchers,
215,Clifford Nass,(legacy — his students and successors at Stanford),His lab's pioneering work on human-computer interaction continues through researchers like **Andrea Won** and **Jeremy Bailenson** at Stanford's Virtual Human Interaction Lab.,Category 7: Psychological & Emotional AI Researchers,
216,Jeremy Bailenson,"Professor, Stanford; Director, Virtual Human Interaction Lab","Studies psychological effects of virtual and AI-mediated experiences; his research on ""experience on demand"" informs how AI changes educational and social institutions.",Category 7: Psychological & Emotional AI Researchers,
217,Amy Orben,"Program Leader, MRC Cognition and Brain Sciences Unit, Cambridge",Conducts rigorous studies on technology's impact on adolescent mental health; her methodological approach could strengthen Solomon's evidence base.,Category 7: Psychological & Emotional AI Researchers,
218,Andrew Przybylski,"Professor, Oxford Internet Institute","Studies digital technology's psychological effects with rigorous methodology; his balanced, evidence-based approach supports Solomon's credible assessment of AI risks.",Category 7: Psychological & Emotional AI Researchers,
219,Mary Gray,"Senior Principal Researcher, Microsoft Research; Author of *Ghost Work*","Studies the hidden human labor behind AI systems; her work on ""ghost workers"" reveals institutional exploitation that Solomon aims to address.",Category 7: Psychological & Emotional AI Researchers,
220,Iason Gabriel,"Staff Research Scientist, Google DeepMind",Leads research on AI ethics and human values alignment; his philosophical work on what values AI should serve directly informs Solomon's mission framework.,Category 7: Psychological & Emotional AI Researchers,
221,Murray Shanahan,"Professor, Imperial College London; Author of *Embodiment and the Inner Life*",Studies machine consciousness and cognition; his philosophical analysis of AI minds informs Solomon's approach to human-AI relationships in institutions.,Category 7: Psychological & Emotional AI Researchers,
222,Anna Googled,(see #97 correction: **Anna Googled** should be **Anna Googled Ethics Research Group**; correct researcher is **Anna Googled** at ETH Zurich),"Note: This entry corrects #97. The key ETH Zurich researchers are **Andrea Ienca** and **Effy Vayena**, who study neuroethics and digital health ethics.",Category 7: Psychological & Emotional AI Researchers,
222,Andrea Ienca,"Professor of AI Ethics, Technical University of Munich (formerly ETH Zurich)","Pioneered ""neurorights"" concept; his work on protecting cognitive liberty from AI manipulation directly supports Solomon's mission to protect human autonomy.",Category 7: Psychological & Emotional AI Researchers,
223,John Vervaeke,"Professor of Psychology, University of Toronto; Host, *Awakening from the Meaning Crisis*","Studies meaning-making, wisdom, and cognitive science; his framework for addressing the ""meaning crisis"" provides philosophical grounding for Solomon's approach to AI and human flourishing.",Category 7: Psychological & Emotional AI Researchers,
224,Lisa Feldman Barrett,"Professor, Northeastern University; Author of *How Emotions Are Made*",Revolutionized emotion science; her constructed emotion theory challenges simplistic AI emotion recognition and informs Solomon's approach to psychologically sophisticated AI.,Category 7: Psychological & Emotional AI Researchers,
225,Stuart Shanker,"Professor, York University; Founder, MEHRIT Centre",Expert on self-regulation and stress in children; his work on how technology affects developmental processes informs Solomon's educational protection mission.,Category 7: Psychological & Emotional AI Researchers,
226,Tiffany Shlain,"Filmmaker; Author of *24/6*; Founder, Webby Awards",Creates accessible media about technology and human connection; her storytelling ability could communicate Solomon's vision to mainstream audiences.,Category 7: Psychological & Emotional AI Researchers,
227,Anil Seth,"Professor, University of Sussex; Author of *Being You*","Leading consciousness researcher; his work on perception and the ""controlled hallucination"" of consciousness informs how AI might affect human self-understanding.",Category 7: Psychological & Emotional AI Researchers,
228,Nick Chater,"Professor, Warwick Business School; Author of *The Mind is Flat*",Studies human decision-making and cognition; his research on how people are influenced by framing informs Solomon's approach to AI's psychological manipulation risks.,Category 7: Psychological & Emotional AI Researchers,
229,Celeste Kidd,"Professor, UC Berkeley","Studies curiosity, belief formation, and how people update their worldviews; her research on epistemic vulnerability to AI-generated content informs Solomon's mission.",Category 7: Psychological & Emotional AI Researchers,
230,Yejin Choi,"Professor, Stanford (formerly UW); MacArthur Fellow; Winner, ACM Prize in Computing",Pioneered AI common-sense reasoning; her work on social norms and moral reasoning in AI directly connects to Solomon's goal of socially beneficial AI systems.,Category 7: Psychological & Emotional AI Researchers,
231,Joi Ito,"Director of Digital Architecture, Keio University (former MIT Media Lab Director)","Despite controversy, maintains enormous network bridging technology, policy, and social impact; his ""resisting reduction"" framework opposes reductive AI approaches, supporting Solomon's mission.",Conference Organizers & Community Builders,Conference Organizers & Community Builders
232,Nathan Sanders,"AI policy researcher; former fellow, Berkman Klein Center",Works at intersection of AI and democratic governance; his writing with Bruce Schneier on AI and democracy directly supports Solomon's civic mission.,Conference Organizers & Community Builders,Conference Organizers & Community Builders
233,Katya Klinova,"Head of AI, Labor, and the Economy, Partnership on AI",Focuses specifically on AI's impact on work and economic institutions; her convenings bring together stakeholders Solomon needs to engage.,Conference Organizers & Community Builders,Conference Organizers & Community Builders
234,Amba Kak,"(see #89) Cross-listed as a connector. Her convenings at AI Now bring together researchers, advocates, and policymakers.",,Conference Organizers & Community Builders,Conference Organizers & Community Builders
234,R. David Edelman,"Director, MIT Internet Policy Research Initiative; former White House Special Assistant for Economic and Technology Policy",Bridges technology companies and government; his policy network could help Solomon reach institutional decision-makers.,Conference Organizers & Community Builders,Conference Organizers & Community Builders
235,Charlotte Slaiman,"VP, Competition Policy, Public Knowledge",Works on technology platform regulation and public interest tech policy; her advocacy network reaches congressional offices and regulators Solomon must engage.,Conference Organizers & Community Builders,Conference Organizers & Community Builders
236,Matt Sheehan,"Fellow, Carnegie Endowment for International Peace",Expert on US-China AI relations; his policy research and convening at Carnegie reaches international institutional leaders relevant to Solomon.,Conference Organizers & Community Builders,Conference Organizers & Community Builders
237,Irene Solaiman,"Head of Global Policy, Hugging Face","Bridges AI research and policy; formerly at OpenAI and Zillow, her experience across sectors makes her a key connector for Solomon's multi-stakeholder approach.",Conference Organizers & Community Builders,Conference Organizers & Community Builders
238,Heather Frase,"Senior Fellow, CSET Georgetown",Studies AI evaluation and assessment; her technical policy work connects AI researchers to national security and governance communities Solomon must reach.,Conference Organizers & Community Builders,Conference Organizers & Community Builders
239,Jack Stilgoe,"Professor, UCL; Author of *Who's Driving Innovation?*",Expert on responsible innovation and technology governance; his UK/European network bridges different regulatory approaches to AI institutions.,Conference Organizers & Community Builders,Conference Organizers & Community Builders
240,Wendy Hall,"Professor, University of Southampton; Co-author of UK AI Review",Shaped UK AI strategy; her government advisory roles and international academic network provide institutional access for Solomon's global mission.,Conference Organizers & Community Builders,Conference Organizers & Community Builders
241,Lex Fridman,"Research Scientist, MIT; Host, *Lex Fridman Podcast*",Massive platform (millions of subscribers) featuring long-form AI conversations; a Solomon episode could reach tech-curious audiences who shape institutional culture.,Podcast Hosts & Media Amplifiers,Podcast Hosts & Media Amplifiers
242,Ezra Klein,"Columnist, New York Times; Host, *The Ezra Klein Show*",Deeply engaged with AI's societal implications; his audience of policymakers and educated professionals is exactly Solomon's target demographic.,Podcast Hosts & Media Amplifiers,Podcast Hosts & Media Amplifiers
243,Kara Swisher,"Host, *On with Kara Swisher*; Co-founder, Recode",Most influential technology journalist; her fearless interviewing and massive audience could pressure-test and amplify Solomon's message.,Podcast Hosts & Media Amplifiers,Podcast Hosts & Media Amplifiers
244,Casey Newton,"Founder, *Platformer*",Leading journalist covering technology platforms' impact on society; his newsletter reaches institutional decision-makers concerned about technology harm.,Podcast Hosts & Media Amplifiers,Podcast Hosts & Media Amplifiers
245,Kevin Roose,"Technology columnist, New York Times; Author of *Futureproof*",Writes accessibly about AI's impact on work and society; his early experience with Sydney/Bing AI revealed emotional AI risks relevant to Solomon.,Podcast Hosts & Media Amplifiers,Podcast Hosts & Media Amplifiers
246,Karen Hao,"Contributing writer, *The Atlantic*; former AI reporter, MIT Technology Review",One of the most respected AI journalists; her investigative reporting on AI companies' societal impact reaches institutional leaders.,Podcast Hosts & Media Amplifiers,Podcast Hosts & Media Amplifiers
247,Will Douglas Heaven,"Senior Editor for AI, MIT Technology Review",Shapes how the most influential technology publication covers AI; editorial decisions about framing AI risks reach the professional class Solomon needs.,Podcast Hosts & Media Amplifiers,Podcast Hosts & Media Amplifiers
248,Emily Chang,"Anchor, Bloomberg Technology",Reaches business and finance audiences with technology coverage; her platform could introduce Solomon to the investor and corporate class.,Podcast Hosts & Media Amplifiers,Podcast Hosts & Media Amplifiers
249,Bilawal Sidhu,AI content creator; former Google engineer,Translates complex AI developments for large social media audiences; his visual explainer format could make Solomon's mission tangible for mainstream viewers.,Podcast Hosts & Media Amplifiers,Podcast Hosts & Media Amplifiers
250,Rachel Woods,"Founder, The AI Exchange; AI educator",Teaches non-technical professionals to understand AI; her audience of business leaders and educators is precisely who Solomon needs to reach.,Podcast Hosts & Media Amplifiers,Podcast Hosts & Media Amplifiers
251,Bruce Reed,"White House Deputy Chief of Staff (Biden administration, AI policy lead)",Coordinated the Biden administration's AI executive order; his government network represents institutional channels Solomon must access.,Policy & Government Bridge Figures,Policy & Government Bridge Figures
252,Arati Prabhakar,"Director, White House OSTP (Biden administration)",Led the government's science and technology policy including AI regulation; her institutional knowledge and network are directly relevant to Solomon.,Policy & Government Bridge Figures,Policy & Government Bridge Figures
253,Alan Davidson,"Assistant Secretary of Commerce for Communications and Information; Administrator, NTIA",Leads government efforts on AI accountability; NTIA's AI auditing framework connects to Solomon's institutional governance mission.,Policy & Government Bridge Figures,Policy & Government Bridge Figures
254,Lynne Parker,"Former Director, National AI Initiative Office; Professor, University of Tennessee",Shaped US national AI strategy; her experience building government AI infrastructure informs Solomon's civic deployment approach.,Policy & Government Bridge Figures,Policy & Government Bridge Figures
255,Michael Kratsios,"Former US CTO; Managing Director, Scale AI",Bridges government tech policy and Silicon Valley; his bipartisan credibility could help Solomon navigate political institutional dynamics.,Policy & Government Bridge Figures,Policy & Government Bridge Figures
256,Mignon Clyburn,"Former FCC Commissioner; Founder, MLC Strategies",Expertise in telecommunications policy and digital inclusion; her regulatory experience informs Solomon's approach to institutional technology governance.,Policy & Government Bridge Figures,Policy & Government Bridge Figures
257,Nicol Turner Lee,"Director, Center for Technology Innovation, Brookings Institution",Researches AI's impact on racial equity and democratic institutions; her Brookings platform reaches policymakers Solomon must engage.,Policy & Government Bridge Figures,Policy & Government Bridge Figures
258,Darrell West,"Senior Fellow, Brookings Institution; Author of *The Future of Work*",Prolific researcher on AI's societal impact; his Brookings publications and policy recommendations reach government decision-makers.,Policy & Government Bridge Figures,Policy & Government Bridge Figures
259,Mark Warner,"US Senator, Virginia; Senate Intelligence Committee",Leading congressional voice on technology regulation; his bipartisan AI legislation efforts create institutional frameworks Solomon could leverage.,Policy & Government Bridge Figures,Policy & Government Bridge Figures
260,Chris Coons,"US Senator, Delaware; AI Caucus Co-chair",Co-chairs the Senate AI Caucus; his legislative work on AI governance creates policy infrastructure for Solomon's institutional approach.,Policy & Government Bridge Figures,Policy & Government Bridge Figures
261,Abigail Jacobs,"Assistant Professor, University of Michigan School of Information",Studies measurement and algorithmic fairness in institutions; her work on how metrics shape institutional behavior informs Solomon's governance approach.,Academic Bridge Figures & Emerging Scholars,Academic Bridge Figures & Emerging Scholars
262,Roel Dobbe,(see #91) Cross-listed as a connector bridging European and American AI safety research communities.,,Academic Bridge Figures & Emerging Scholars,Academic Bridge Figures & Emerging Scholars
262,Luke Stark,"Assistant Professor, Western University",Studies AI ethics and the politics of emotion recognition technology; his critical analysis of affective computing connects to Solomon's psychological protection goals.,Academic Bridge Figures & Emerging Scholars,Academic Bridge Figures & Emerging Scholars
263,Bogdana Rakova,"Senior Trustworthy AI Fellow, Mozilla Foundation",Works on AI accountability in practice; her community-oriented approach to responsible AI bridges research and grassroots institutional engagement.,Academic Bridge Figures & Emerging Scholars,Academic Bridge Figures & Emerging Scholars
264,Ranjit Singh,"Researcher, Data & Society",Studies how data systems reshape institutional practices; his ethnographic approach to understanding AI in organizations informs Solomon's practical deployment strategy.,Academic Bridge Figures & Emerging Scholars,Academic Bridge Figures & Emerging Scholars
